datetime,open,high,low,close,volume
1646192700000,16613.9,16678.5,16547.4,16643.35,82965535
1646193900000,16642.75,16659.9,16567.55,16575.15,42880334
1646195100000,16574.4,16604.95,16545.5,16591.7,25950835
1646196300000,16591.65,16627.85,16570.95,16575.0,27819373
1646197500000,16574.55,16589.95,16549.95,16582.65,28965155
1646198700000,16583.7,16589.3,16562.35,16575.5,20015630
1646199900000,16575.35,16607.35,16571.8,16593.55,16638992
1646201100000,16593.05,16593.05,16516.3,16516.55,18859273
1646202300000,16515.45,16538.8,16508.6,16511.95,17003009
1646203500000,16511.65,16531.95,16499.55,16508.4,16857579
1646204700000,16508.2,16520.75,16478.65,16490.9,18382054
1646205900000,16490.45,16577.75,16483.9,16548.7,17736874
1646207100000,16548.85,16562.95,16515.25,16529.25,13482128
1646208300000,16529.6,16561.45,16524.6,16557.25,14509695
1646209500000,16557.45,16566.4,16526.5,16526.55,17540044
1646210700000,16526.6,16533.9,16484.55,16501.25,25318464
1646211900000,16500.3,16548.55,16493.6,16512.8,24452360
1646213100000,16512.5,16612.2,16510.15,16607.75,36459317
1646214300000,16607.15,16639.25,16598.35,16625.85,34877054
1646279100000,16736.0,16768.95,16674.15,16690.25,61166286
1646280300000,16690.0,16691.5,16637.55,16665.0,27503995
1646281500000,16663.65,16672.7,16610.4,16641.55,16846516
1646282700000,16641.85,16649.2,16606.25,16622.05,17269715
1646283900000,16621.65,16652.45,16615.35,16619.05,13997967
1646285100000,16619.2,16654.25,16612.3,16650.7,20654196
1646286300000,16651.85,16662.0,16642.7,16653.85,18698599
1646287500000,16655.4,16660.05,16636.9,16646.8,14494227
1646288700000,16647.1,16659.2,16630.55,16640.4,14888230
1646289900000,16640.45,16640.45,16537.5,16541.2,19497521
1646291100000,16542.05,16582.8,16534.55,16567.45,16577992
1646292300000,16566.9,16566.9,16501.85,16520.75,16831325
1646293500000,16521.5,16534.2,16476.9,16533.25,19092438
1646294700000,16533.9,16576.1,16528.6,16569.2,17542451
1646295900000,16569.65,16572.1,16498.4,16512.75,18188744
1646297100000,16513.25,16555.95,16489.75,16553.65,19215659
1646298300000,16551.15,16563.65,16513.45,16522.7,20418396
1646299500000,16521.55,16532.15,16442.95,16526.2,38259779
1646300700000,16528.45,16541.55,16499.85,16508.75,31420549
