datetime,open,high,low,close,volume
1781235900000,55885.25,55935.4,55832.45,55927.65,735820
1781235901000,55950.7,55979.4,55912.5,55928.65,409492
1781235902000,55962.15,55962.15,55865.35,55890.55,571731
1781235903000,55932.65,55932.65,55898.75,55924.65,299035
1781235904000,55905.05,55910.3,55901.45,55909.1,264615
1781235905000,55891.5,55908.55,55887.65,55908.55,132343
1781235906000,55887.3,55887.3,55865.05,55880.8,162148
1781235907000,55860.05,55874.85,55860.05,55874.85,339354
1781235908000,55878.15,55880.7,55877.05,55880.7,307839
1781235909000,55906.9,55910.4,55901.7,55901.7,67239
1781235910000,55915.95,55926.2,55913.15,55923.0,252918
1781235911000,55926.8,55946.05,55926.8,55935.5,120139
1781235912000,55954.4,55955.35,55950.85,55950.85,78971
1781235913000,55955.15,55955.15,55934.95,55946.1,124883
1781235914000,55941.1,55941.1,55925.4,55925.4,145823
1781235915000,55941.85,55957.85,55941.85,55957.85,125726
1781235916000,55950.1,55960.9,55946.9,55954.9,148731
1781235917000,55958.7,55961.55,55956.45,55956.45,58850
1781235918000,55962.7,55964.5,55950.3,55964.5,72779
1781235919000,55967.8,55967.8,55959.9,55960.75,64334
1781235920000,55956.7,55964.9,55956.7,55962.3,64782
1781235921000,55959.95,55975.0,55959.95,55967.55,198549
1781235922000,55983.3,55983.3,55969.25,55977.3,66620
1781235923000,55978.75,55988.65,55978.75,55980.05,31398
1781235924000,55988.85,55993.05,55977.2,55977.2,81070
1781235925000,55968.05,55973.5,55966.35,55966.35,736985
1781235926000,55966.0,55976.5,55963.45,55972.85,57199
1781235927000,55971.05,55972.75,55965.45,55972.75,68481
1781235928000,55971.45,55971.45,55956.6,55956.6,53872
1781235929000,55963.15,55970.45,55962.3,55970.45,32142
1781235930000,55960.1,55985.0,55960.1,55982.0,125970
1781235931000,55999.3,56005.5,55992.15,55992.15,105162
1781235932000,55989.3,55989.3,55973.5,55973.5,139468
1781235933000,55983.35,55997.65,55983.35,55993.25,39414
1781235934000,55989.7,56000.65,55989.7,55997.0,73765
1781235935000,55995.15,56016.8,55995.15,56004.55,70958
1781235936000,55992.55,55998.1,55991.3,55998.1,157836
1781235937000,55993.35,55999.9,55993.35,55997.3,3549
1781235938000,56001.45,56001.45,55990.8,56000.2,136225
1781235939000,55999.2,56005.0,55992.9,55992.9,50350
1781235940000,55984.85,56001.9,55984.75,55997.0,40597
1781235941000,56003.8,56003.8,55998.0,56001.35,37738
1781235942000,55995.5,55999.55,55989.45,55989.45,49076
1781235943000,55995.05,55995.05,55984.55,55984.55,60803
1781235944000,55984.4,56001.45,55984.4,56001.45,33239
1781235945000,55996.65,55996.65,55990.55,55990.55,65783
1781235946000,55996.15,56003.9,55996.15,55998.8,20904
1781235947000,55993.85,55994.1,55984.4,55988.45,31856
1781235948000,55979.1,55979.1,55968.3,55968.3,183016
1781235949000,55971.3,55971.3,55965.75,55965.75,30900
1781235950000,55969.9,55969.9,55960.45,55960.75,38572
1781235951000,55959.6,55966.15,55959.6,55960.6,55148
1781235952000,55965.25,55967.0,55959.9,55961.3,22628
1781235953000,55967.65,55967.65,55953.1,55953.1,36236
1781235954000,55962.25,55965.95,55962.05,55965.95,22088
1781235955000,55960.55,55967.65,55960.55,55967.05,32608
1781235956000,55974.65,55975.25,55970.95,55970.95,26289
1781235957000,55971.2,55971.2,55962.1,55962.1,172930
1781235958000,55964.25,55972.8,55964.25,55972.45,11599
1781235959000,55973.1,55984.25,55973.1,55984.25,34460
1781235960000,55985.4,55999.25,55985.4,55999.25,18384
1781235961000,55999.0,56013.9,55989.65,56005.35,103451
1781235962000,56006.65,56006.65,55995.95,56000.6,89307
1781235963000,55999.4,55999.4,55991.5,55993.6,121457
1781235964000,55988.6,55988.6,55982.95,55986.45,91835
