datetime,open,high,low,close,volume
1767584700000,60378.85,60437.35,60214.05,60273.2,13222845
1767584820000,60264.05,60365.0,60251.85,60348.75,6574984
1767584940000,60343.45,60343.65,60293.8,60301.75,7756615
1767585060000,60294.0,60299.45,60255.05,60268.35,2840790
1767585180000,60272.85,60275.9,60165.15,60177.9,3026722
1767585300000,60189.85,60260.4,60132.75,60246.6,3599460
1767585420000,60249.65,60268.6,60184.75,60190.95,2553316
1767585540000,60193.45,60224.05,60171.55,60219.3,1947297
1767585660000,60219.7,60223.1,60164.9,60181.95,2170664
1767585780000,60180.7,60207.3,60155.65,60168.55,1930567
1767585900000,60170.45,60181.85,60122.35,60149.25,2102174
1767586020000,60146.2,60176.55,60138.1,60163.4,1784330
1767586140000,60163.1,60264.6,60163.1,60262.25,2312692
1767586260000,60256.55,60264.6,60219.15,60250.2,1975156
1767586380000,60245.3,60256.6,60203.7,60222.7,1138476
1767586500000,60224.5,60251.85,60205.3,60216.1,1904265
1767586620000,60215.15,60228.15,60176.05,60224.1,1368982
1767586740000,60223.05,60263.1,60219.75,60251.1,1538510
1767586860000,60253.45,60256.2,60182.8,60222.85,1886733
1767586980000,60222.75,60245.85,60217.55,60236.55,1490302
1767587100000,60237.25,60299.65,60233.25,60291.8,1262564
1767587220000,60291.9,60296.35,60272.8,60283.65,1082810
1767587340000,60276.65,60310.55,60272.25,60273.9,1090638
1767587460000,60274.4,60289.55,60252.5,60253.0,2924398
1767587580000,60253.4,60272.25,60241.9,60251.0,1688046
1767587700000,60245.55,60300.7,60224.6,60299.95,1396180
1767587820000,60300.05,60323.8,60278.8,60318.75,2355457
1767587940000,60324.9,60352.55,60321.05,60347.15,1313763
1767588060000,60339.95,60349.8,60304.7,60312.6,858203
1767588180000,60311.85,60354.45,60297.2,60345.6,1240105
1767588300000,60341.95,60349.25,60311.4,60319.7,884830
1767588420000,60314.65,60357.0,60308.9,60352.6,871337
1767588540000,60353.25,60353.25,60308.3,60317.4,700995
1767588660000,60317.15,60341.3,60309.5,60323.75,841689
1767588780000,60324.65,60354.8,60321.7,60349.95,1297135
1767588900000,60352.65,60355.85,60331.65,60338.9,636032
1767589020000,60336.4,60355.65,60331.85,60342.45,901996
1767589140000,60342.25,60343.95,60321.0,60327.85,2158732
1767589260000,60330.25,60353.5,60323.8,60335.65,1921040
1767589380000,60339.45,60354.4,60327.3,60338.95,3681960
1767589500000,60341.5,60344.45,60314.65,60344.45,2425569
1767589620000,60345.0,60349.95,60308.85,60318.0,2514432
1767589740000,60317.4,60339.7,60301.8,60301.8,1087767
1767589860000,60302.7,60313.55,60291.95,60296.2,1151268
1767589980000,60294.25,60317.35,60276.5,60317.35,2192324
1767590100000,60317.05,60327.95,60302.1,60302.1,788395
1767590220000,60307.2,60311.75,60290.75,60295.5,1151029
1767590340000,60298.4,60320.9,60294.3,60307.65,957544
1767590460000,60306.2,60327.8,60291.8,60319.7,1038598
1767590580000,60320.15,60331.2,60309.05,60315.35,746493
1767590700000,60315.3,60326.85,60311.85,60317.65,631100
1767590820000,60317.95,60331.2,60307.85,60321.25,1779466
1767590940000,60319.95,60325.85,60298.3,60323.15,1371264
1767591060000,60321.3,60352.05,60302.3,60348.05,1739768
1767591180000,60347.2,60347.2,60323.25,60339.05,771962
