datetime,open,high,low,close,volume
1767584700000,60406.2,60479.8,60381.0,60450.0,46800
1767584820000,60440.0,60500.0,60440.0,60493.6,27480
1767584940000,60472.6,60500.0,60458.8,60471.2,18120
1767585060000,60460.0,60474.0,60435.0,60435.0,9240
1767585180000,60435.2,60435.2,60375.0,60375.0,7830
1767585300000,60370.0,60442.6,60341.0,60440.0,6330
1767585420000,60426.2,60448.8,60380.6,60380.6,9210
1767585540000,60386.6,60421.8,60383.0,60410.0,5700
1767585660000,60410.4,60412.8,60365.2,60384.2,4620
1767585780000,60365.0,60395.0,60350.0,60370.6,3540
1767585900000,60368.8,60371.4,60336.0,60351.0,17760
1767586020000,60347.8,60375.0,60330.0,60368.8,5340
1767586140000,60350.0,60450.0,60350.0,60435.0,5460
1767586260000,60444.4,60451.0,60400.0,60438.0,6480
1767586380000,60425.8,60439.0,60401.0,60418.6,2190
1767586500000,60421.6,60439.0,60384.4,60409.2,4290
1767586620000,60407.4,60420.4,60388.0,60417.0,2550
1767586740000,60420.0,60449.0,60420.0,60448.8,1860
1767586860000,60448.8,60449.0,60397.0,60427.4,2130
1767586980000,60410.6,60433.0,60410.0,60422.2,1830
1767587100000,60433.0,60475.0,60423.0,60470.4,5520
1767587220000,60470.2,60476.8,60455.0,60469.8,2580
1767587340000,60460.0,60489.0,60459.4,60463.4,4260
1767587460000,60455.0,60475.0,60445.0,60445.0,1320
1767587580000,60450.0,60459.6,60437.0,60437.0,900
1767587700000,60437.0,60480.0,60422.0,60480.0,1620
1767587820000,60483.0,60494.8,60468.6,60493.0,8310
1767587940000,60495.0,60520.0,60495.0,60517.0,8790
1767588060000,60520.0,60520.0,60491.0,60500.0,3210
1767588180000,60500.0,60530.0,60495.0,60528.0,4680
1767588300000,60514.8,60536.0,60512.2,60517.0,2760
1767588420000,60517.0,60534.0,60500.0,60524.8,1260
1767588540000,60534.6,60537.0,60500.0,60500.0,5220
1767588660000,60509.8,60528.8,60500.0,60516.8,1410
1767588780000,60518.8,60530.0,60504.2,60530.0,1440
1767588900000,60521.2,60532.8,60501.6,60510.2,1920
1767589020000,60520.0,60538.4,60506.8,60516.0,1500
1767589140000,60514.8,60525.0,60492.4,60497.0,4290
1767589260000,60506.0,60534.6,60492.6,60525.0,2760
1767589380000,60522.6,60524.0,60505.2,60510.0,1920
1767589500000,60519.8,60524.0,60501.0,60524.0,1830
1767589620000,60523.8,60524.0,60501.0,60501.0,1620
1767589740000,60501.0,60524.0,60480.0,60480.0,2460
1767589860000,60482.0,60490.0,60480.0,60488.8,660
1767589980000,60475.0,60489.8,60448.6,60484.6,3150
1767590100000,60485.0,60498.0,60476.4,60480.0,3180
1767590220000,60487.0,60487.0,60468.6,60484.8,1680
1767590340000,60481.0,60485.0,60466.2,60482.0,2190
1767590460000,60482.0,60495.0,60474.0,60495.0,2670
1767590580000,60495.0,60500.4,60485.2,60490.0,960
1767590700000,60495.0,60499.0,60488.4,60490.0,1050
1767590820000,60490.0,60510.0,60480.2,60496.6,1560
1767590940000,60495.0,60498.2,60478.0,60495.6,1590
1767591060000,60493.8,60518.0,60485.2,60518.0,1320
1767591180000,60516.2,60517.0,60500.0,60513.8,1560
1767591300000,60515.0,60518.0,60489.8,60490.0,1320
1767591420000,60493.8,60506.4,60470.0,60475.2,1290
1767591540000,60477.0,60491.2,60450.0,60450.0,5070
1767591660000,60450.0,60479.4,60448.6,60479.4,720
1767591780000,60475.0,60499.6,60461.4,60479.6,900
1767591900000,60490.2,60496.4,60470.0,60471.0,480
1767592020000,60471.0,60471.0,60454.2,60457.8,600
1767592140000,60470.4,60470.4,60445.6,60445.6,1200
1767592260000,60449.8,60450.0,60421.0,60430.0,2130
1767592380000,60416.6,60423.4,60384.6,60388.2,5730
1767592500000,60382.6,60413.0,60375.2,60400.0,2430
1767592620000,60396.6,60413.0,60385.8,60411.2,840
1767592740000,60401.2,60414.6,60399.0,60399.0,1140
1767592860000,60394.4,60430.0,60392.4,60419.2,1710
1767592980000,60410.0,60410.0,60388.8,60397.4,1530
1767593100000,60390.2,60414.0,60390.0,60406.6,1050
1767593220000,60406.6,60410.0,60395.2,60410.0,390
1767593340000,60400.0,60416.2,60390.0,60416.2,690
1767593460000,60426.2,60440.0,60412.8,60428.0,720
1767593580000,60437.0,60446.8,60428.2,60446.8,780
1767593700000,60447.0,60450.0,60418.6,60432.8,1320
1767593820000,60422.6,60450.0,60422.6,60441.8,480
1767593940000,60440.0,60460.0,60440.0,60455.0,780
1767594060000,60441.8,60450.4,60410.8,60410.8,1020
1767594180000,60414.8,60428.6,60414.8,60424.0,720
1767594300000,60414.8,60434.2,60410.0,60414.8,840
1767594420000,60412.4,60435.0,60407.8,60435.0,990
1767594540000,60427.8,60440.0,60412.6,60419.4,1170
1767594660000,60420.0,60433.8,60395.8,60416.8,1350
1767594780000,60405.6,60416.8,60400.0,60407.0,930
1767594900000,60415.8,60444.8,60410.0,60429.8,1110
1767595020000,60423.2,60431.6,60399.0,60409.0,1290
1767595140000,60408.8,60438.0,60408.8,60412.0,1560
1767595260000,60409.6,60441.4,60404.8,60425.8,1020
1767595380000,60443.8,60444.0,60423.2,60427.4,1830
1767595500000,60428.2,60444.0,60420.8,60444.0,870
1767595620000,60444.0,60461.8,60433.6,60436.8,1140
1767595740000,60453.4,60461.8,60432.0,60443.4,1080
1767595860000,60443.4,60460.2,60434.0,60434.0,840
